Venue,Rank
Journal of Trust Research,B
Journal of Urban Affairs,A
Journal of Urban Economics,A*
Journal of Urban Planning and Development,B
Journal of Vacation Marketing,A
Journal of Vocational Behavior,A*
Journal of Vocational Education and Training,B
Journal of Wine Economics,C
Journal of Workplace Learning,C
Journal of World Business,A*
Journal of World Investment and Trade,A
Journal of World Trade,B
Journal Transition Studies Review,C
Judgment and Decision Making,A
Juridical Review: law journal of Scottish universities,B
Keio Economic Studies,C
Keizai Kagaku,C
Kerala: an economic review,C
King's Law Journal,B
Knowledge and Information Systems,C
Knowledge and Process Management,B
Knowledge Management Research and Practice,A
Knowledge-Based Systems,A
Kobe Economic and Business Review,C
Kobe University Economic Review,C
Korea and the World Economy,C
Korea Review of International Studies,C
Kyklos,A
Kyoto Economic Review,C
Labor History,A
Labor Studies Journal,B
Labor: Studies in working class history,B
Labour / Le Travail,B
Labour & Industry,B
Labour Economics,A
Labour History Review,B
Labour History: a journal of labour and social history,A
Labour Law Journal,C
Labour,B
Lahore Journal of Economics,C
Land Economics,A
Land Use Policy,A
Language & Communication,B
Latin American Journal of Economics,C
Law and Financial Markets Review,B
Law and Policy,A
Law Quarterly Review,A*
Leadership,B
Leadership & Organization Development Journal,B
Leadership in Health Services,C
Legal Education Review,C
Legal Issues in Business,C
Legal Issues of Economic Integration,A
Leisure,B
Leisure Sciences: an interdisciplinary journal,A
Leisure Studies,A
Les Cahiers Scientifiques du Transport / Scientific Papers in Transportation,C
Library Management,C
Lifetime Data Analysis: an international journal devoted to the methods and applications of reliability and survival analysis,B
Lloyd's Maritime and Commercial Law Quarterly,A
Lloyd's Shipping and Trade Law,B
Local Economy,C
Local Government Studies,A
Loisir et Societe (Society and Leisure),B
Long Range Planning,A
Macquarie Journal of Business Law,C
Macquarie Law Journal,C
Macroeconomic Dynamics,A
Macroeconomics and Finance in Emerging Market Economies,C
Malayan Law Journal,C
Malaysian Journal of Economic Studies,C
Management,B
Management & Organizational History,C
Management Accounting Frontiers,C
Management Accounting Quarterly,C
Management Accounting Research,A*
Management and Accounting Review,C
Management and Labour Studies,C
Management and Organization Review,A
Management Communication Quarterly,B
Management Control,C
Management Decision,B
Management International Review,A
Management Learning,A
Management of Environmental Quality,C
Management Research Review,C
Management Research,C
Management Review Quarterly,B
Management Science,A*
Management Teaching Review,C
Management: Journal of Contemporary Management Issues,C
Managerial and Decision Economics,B
Managerial Auditing Journal,A
Managerial Finance,B
Managing Sport and Leisure,B
Manchester Journal of International Economic Law,C
Manchester School,B
Manufacturing and Service Operations Management,A*
Margin: The journal of applied economic research,C
Marine Policy,A
Marine Resource Economics,A
Maritime Business Review,C
Maritime Economics & Logistics,B
Maritime Policy and Management,B
Market Microstructure and Liquidity,B
Marketing Bulletin,C
Marketing Education Review,C
Marketing Health Services,C
Marketing Intelligence & Planning,A
Marketing Letters,A
Marketing Science,A*
Marketing Theory,A
Mathematical Finance,A
Mathematical Methods in Economics and Finance,C
Mathematical Methods of Statistics,B
Mathematical Social Sciences,A
Mathematics and Financial Economics,C
Mathematics of Operations Research,A
Measuring Business Excellence,B
Media and Arts Law Review,C
Media Culture and Society,B
Medical Law International,C
Meditari Accountancy Research,A
Melbourne Journal of International Law,A
Melbourne University Law Review,A*
Metrika: international journal for theoretical and applied statistics,B
Metroeconomica: international review of economics,B
Metron,C
Middle East Business and Economic Review,C
Middle East Development Journal,C
Millenium: journal of international studies,B
Millennial Asia: An International Journal of Asian Studies,C
Mineral Economics,C
Minnesota Journal of Business Law and Entrepreneurship,B
MIS Quarterly,A*
MIS Quarterly Executive,A
MIT Sloan Management Review,A
Model Assisted Statistics and Applications,C
Monash University Law Review,A
Monetary and Economic Studies,C
Money Affairs,C
Monte Carlo Methods and Applications,C
Motivation and Emotion,A
Multinational Business Review,B
Multinational Finance Journal,B
Multivariate Behavioral Research,A
Mustang Journal of Accounting and Finance,C
Narrative Inquiry,B
National Economic Review,C
National Institute Economic Review,B
National Tax Journal,A
Naval Research Logistics,B
NBER Macroeconomics Annual,A
Negotiation and Conflict Management Research,C
Negotiation Journal,B
Netnomics,C
Networks and Spatial Economics,B
New Directions for Evaluation,B
New England Journal of Entrepreneurship,C
New Law Journal,C
New Perspectives on Political Economy,C
New Political Economy,A
"New Technology, Work & Employment",A
New York Economic Review,C
New Zealand Business Law Quarterly,B
New Zealand Economic Papers,B
New Zealand Intellectual Property Journal,B
New Zealand Journal of Employment Relations,B
New Zealand Journal of Human Resources Management,C
New Zealand Journal of Taxation Law and Policy,A
New Zealand Law Journal,B
New Zealand Law Review,B
New Zealand Population Review,C
New Zealand Universities Law Review,A
New Zealand Yearbook of International Law,C
Nonprofit and Voluntary Sector Quarterly,A
Nonprofit Management and Leadership,B
Nordic Journal of Commercial Law,C
Nordic Journal of Political Economy,C
North American Actuarial Journal,A
North Carolina Banking Institute Journal (fomerly the University of North Carolina School of Law Banking Institute),C
Northeastern Journal of Agricultural and Resource Economics,C
Northern Economic Review,C
Northwestern Journal of International Law & Business,B
Norton Journal of Bankruptcy Law and Practice,C
Nova Economia: the journal of the economics department at UFMG,C
NYU Journal of Law and Business,C
"Oil, Gas and Energy Quarterly",C
Omega,A
Online Information Review,B
OPEC Energy Review,C
Open Economies Review,B
Operational Research,C
Operations and Supply Chain Management,C
Operations Management Research,C
Operations Research,A*
Operations Research Letters,A
Opsearch,C
Optimal Control Applications and Methods,B
Optimization,B
OR Spectrum,B
Oregon Law Review,A
Organization & Environment,A
Organization Development Journal,C
Organization Management Journal,C
Organization Science,A*
Organization Studies,A*
Organization,A
Organizational Behavior and Human Decision Processes,A*
Organizational Dynamics,A
Organizational Psychology Review,A
Organizational Research Methods,A*
Osgoode Hall Law Journal,A
Otago Law Review,C
Oxford Bulletin of Economics and Statistics,A
Oxford Development Studies,B
Oxford Economic Papers,A
Oxford Journal of Legal Studies,A
Oxford Review of Economic Policy,A
Oxford University Commonwealth Law Journal,A*
Oxonomics: Oxford university economic studies,B
Pacific Accounting Review,B
Pacific Affairs: an international review of Asia and the Pacific,B
Pacific Asia Journal of the Association for Information Systems,B
Pacific Economic Bulletin,C
Pacific Economic Review,B
Pacific Rim Property Research Journal,C
Pacific-Basin Finance Journal,A
Pakistan Development Review,C
Pakistan Economic and Social Review,C
Pakistan Journal of Applied Economics,C
Pakistan Journal of Statistics,C
Papers in Regional Science,A
Parliamentary Affairs,B
Pasos. Journal of Tourism and Cultural Heritage,C
"Peace Economics, Peace Science and Public Policy",C
Pennsylvania Economic Review,C
Pepperdine Law Review,C
Performance Measurement and Metrics,C
Personal and Ubiquitous Computing,A
Personality and Individual Differences,A
Personality and Social Psychology Bulletin,A*
Personality and Social Psychology Review,A*
Personnel Psychology,A*
Personnel Review,A
"Perspectives of Innovations, Economics & Business",C
Perspectives on Work,C
Petroleum Accounting and Financial Management Journal,C
PharmacoEconomics,A
Philippine Journal of Labor and Industrial Relations,C
Philippine Review of Economics,C
Philosophy & Public Affairs,A
Philosophy of Management,C
Philosophy of the Social Sciences,B
Pittsburgh Tax Review,C
Place Branding and Public Diplomacy,B
Poetics,A
Policy and Politics: an international journal,A
Policy and Society,B
Policy Science,B
Policy Studies,B
Policy Studies Journal,B
Political Communication,A
Political Quarterly,B
Political Science Quarterly,A
Political Studies,B
"Politicka Ekonomie: teorie, modelovani, aplikace",B
Politics and Gender,A
Politics and Society,B
"Politics, Philosophy & Economics",B
Population,B
Population and Development Review,A
Population and Environment,A
Population Bulletin,A
Population Research and Policy Review,A
Population Studies: a journal of demography,A
"Population, Space and Place",A
Portuguese Economic Journal,C
Post-Communist Economies,B
Post-Soviet Affairs,B
Prague Economic Papers,C
PRism,B
Probability Theory and Related Fields,A*
Problems of Development / Problemas del Desarrollo,C
Problems of Economic Transition,B
Production and Operations Management,A*
Production Planning and Control,A
Progress in Development Studies,C
Project Management Journal,B
Prometheus: Critical Studies in Innovation,B
Property Management,B
Psychological Bulletin,A*
Psychological Research,A
Psychological Review,A*
Psychological Science,A*
Psychology & Marketing,A
Psychology of Women Quarterly,A
Public Administration and Development,A
Public Administration Quarterly,A
Public Administration Review,A
Public Administration: an international journal,A
Public Budgeting & Finance,C
Public Choice,A
Public Finance Analysis / FinanzArchiv,B
Public Finance and Management,B
Public Finance Review,B
Public Law: the constitutional and administrative law of the Commonwealth,A
Public Management Review,A
Public Money & Management,B
Public Opinion Quarterly,A
Public Performance & Management Review,B
Public Personnel Management,B
Public Policy and Administration,B
Public Policy Research,C
Public Relations Inquiry,B
Public Relations Review,A
Publishing Research Quarterly,C
Qualitative Market Research: an international journal,B
Qualitative Research in Accounting and Management,A
Qualitative Research in Financial Markets,B
Qualitative Research in Organizations and Management,B
Quality & Quantity,B
Quality Management Journal,B
Quality of Life Research,A
Quantitative Economics,A*
Quantitative Finance,A
Quantitative Marketing and Economics,A
Quarterly Journal of Experimental Psychology,A
Quarterly Journal of Finance,A
Quarterly Journal of Finance and Accounting,B
Quarterly Journal of Political Science,B
Quarterly Review of Economics and Finance,B
Queensland Review,C
Quest,C
QUT Law Review,C
R&D Management,A
RAND Journal of Economics,A*
Rationality and Society,B
Reading in Political Economy,C
Real Estate Economics,A
Real Estate Law Journal,C
Real Estate Taxation,C
"Real Property, Trust and Estate Law Journal",C
Recherches Economiques de Louvain,B
Records Management Journal,C
Reflets et Perspectives de la Vie Economique,C
Regional Science and Urban Economics,A
Regional Studies,A*
"Regional Studies, Regional Science",A
Regulation and Governance,A
Relations Industrielles/Industrial Relations,B
Reliability Engineering & System Safety,A
Research Evaluation,C
Research in Accounting in Emerging Economies,C
Research in Accounting Regulation,B
Research in Consumer Behavior: a research annual,C
Research in Economics,B
Research in Experimental Economics,B
Research in Finance,C
Research in Financial Services,C
Research in Governmental and Non-Profit Accounting,B
Research in International Business and Finance,B
Research in Organizational Behavior,A
Research in the History of Economic Thought and Methodology,C
Research in the Sociology of Organizations,A
Research in Transportation Business & Management,C
Research in Transportation Economics,B
Research on Professional Responsibility and Ethics in Accounting,B
Research Policy,A*
Research-Technology Management,A
Resource and Energy Economics,A
Resources Policy,B
Restitution Law Review,A
Rethinking Marxism,C
Revenue Law Journal,B
Review of Accounting and Finance,B
Review of Accounting Studies,A*
Review of African Political Economy,C
Review of Asset Pricing Studies,A*
Review of Behavioral Economics,B
Review of Behavioral Finance,B
Review of Business Information Systems,C
Review of Corporate Finance Studies,A*
Review of Derivatives Research,B
Review of Development Economics,B
Review of Economic Analysis,B
Review of Economic and Business Studies,C
Review of Economic Design,B
Review of Economic Dynamics,A*
Review of Economics (Jahrbuch fur Wirtschaftswissenschaften),C
Review of Economics of the Household,A
Review of Environmental Economics and Policy,A
Review of Finance,A*
Review of Financial Economics,B
Review of Futures Markets,B
Review of Income and Wealth,A
Review of Industrial Organization,A
Review of International Business and Strategy,C
Review of International Economics,A
Review of International Organizations,C
Review of International Political Economy,A
Review of International Studies,B
Review of Islamic Economics,C
Review of Keynesian Economics,C
Review of Law & Economics,B
Review of Marketing and Agricultural Economics,C
Review of Marketing Science,C
Review of Middle East Economics and Finance,C
Review of Pacific Basin Financial Markets and Policies,B
Review of Political Economy,B
Review of Public Personnel Administration,B
Review of Quantitative Finance and Accounting,B
Review of Radical Political Economics,B
Review of Regional Studies,C
Review of Social Economy,B
Review of the Economic Research on Copyright Issues,B
Review of Urban & Regional Development Studies,B
Review of World Economics,B
Review on Economic Cycles,C
Revista de Economia,C
Revista Portuguesa de Marketing,C
Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales,B
Revue de l'OFCE,C
Richmond Journal of Global Law and Business,C
Rikkyo Economic Review,C
Risk Management,C
Risk Management and Insurance Review,C
"Risk, Decision and Policy",B
Risks,B
Romanian Economic Business Review,C
Romanian Journal of Economic Forecasting,C
Rutgers Business Law Review,C
Rutgers Business Review,B
Rutgers Computer and Technology Law Journal,B
Safety Science,A
Scandinavian Actuarial Journal,A
Scandinavian Economic History Review,C
Scandinavian Journal of Economics,A
Scandinavian Journal of Hospitality and Tourism,A
Scandinavian Journal of Information Systems,A
Scandinavian Journal of Management,B
Scandinavian Journal of Statistics,A
Science & Society,B
Science and Public Policy,C
Science Communication,A
"Science, Technology and Society",B
"Science, Technology, & Human Values",A
Scientometrics,A
Scottish Journal of Political Economy,A
Security Dialogue,A
Security Studies,B
Selection and Development Review,C
Seoul Journal of Business,C
SERIEs: Journal of the Spanish Economic Association,B
Service Business,B
Service Industries Journal,B
Service Science,B
Services Marketing Quarterly,B
Sex Roles,A
SIAM Journal on Applied Mathematics,A
SIAM Journal on Computing,C
SIAM Journal on Financial Mathematics,B
Singapore Academy of Law Journal,C
Singapore Economic Review,B
Singapore Journal of Legal Studies,A
Small Business Economics,A
Small Enterprise Research,C
Small Group Research,A
Smart and Sustainable Built Environment,C
Soccer & Society,C
Social and Economic Studies,C
Social and Environmental Accountability Journal,B
Social Business: An Interdisiplinary Journal,B
Social Choice and Welfare,A
Social Enterprise Journal,C
Social Forces,A
Social Indicators Research,A
Social Justice Research,B
Social Marketing Quarterly,B
Social Policy & Administration,A
Social Problems,A
Social Psychological and Personality Science,B
Social Responsibility Journal,B
Social Science Information,C
Social Science Japan Journal,C
Social Science Quarterly,B
Social Service Review,B
Society and Business Review,B
Society and Economy in Central and Eastern Europe,C
SocioEconomic Challenges,C
Socio-Economic Planning Sciences,C
Socio-Economic Review,A
Sociological Inquiry,A
Sociological Methodology,A
Sociological Methods & Research,A
Sociological Theory,A
Sociologie du Travail,B
Sociology,A*
Sociology of Sport Journal,A
South African Journal of Accounting Research,C
South African Journal of Business Management,C
South African Journal of Economic and Management Sciences,C
South African Journal of Economics,B
South African Statistical Journal,B
South Asia Economic Journal,C
South Asian Journal of Business Studies,C
South Asian Journal of Human Resources Management,C
South Asian Journal of Macroeconomics and Public Finance,C
South Asian Journal of Management,C
South Carolina Journal of International Law and Business,C
Southern Business and Economic Journal,C
Southern Economic Journal,A
Spanish Accounting Review / Revista de Contabilidad,B
Spanish Economic Review,B
Spanish Journal of Finance and Accounting,B
Spanish Journal of Marketing – ESIC,B
Spanish Review of Financial Economics,C
Spatial Economic Analysis,B
Sport in Society,B
Sport Management Education Journal,C
Sport Management Review,A
Sport Marketing Quarterly,B
Sport Psychologist,B
"Sport, Business and Management",C
"Sport, Education and Society",B
Sporting Traditions,C
Sri Lanka Economic Journal,C
Sri Lankan Journal of Agricultural Economics,C
Stanford Journal of International Law,A
"Stanford Journal of Law, Business and Finance",A
Stanford Social Innovation Review,B
Statistica Neerlandica,A
Statistica Sinica,A
Statistical Inference for Stochastic Processes,C
Statistical Journal of the International Association for Official Statistics,C
Statistical Methodology,C
Statistical Methods and Applications,C
Statistical Methods In Medical Research,B
Statistical Modelling,B
Statistical Papers,B
Statistical Science,A
Statistics & Risk Modeling,C
Statistics and Computing,A
Statistics & Probability Letters,B
Statistics Education Research Journal,B
Statistics in Medicine,A
Statistics,B
Statute Law Review,A
Stochastic Analysis and Applications,B
Stochastic Environmental Research and Risk Assessment,B
Stochastic Models,B
Stochastic Processes and their Applications,A
Stochastics: an international journal of probability and stochastic processes,B
Strategic Change: Briefings in Entrepreurial Finance,C
Strategic Entrepreneurship Journal,A
Strategic Management Journal,A*
Strategic Organization,A
Strategy & Leadership,C
Strategy Science,A
Stress and Health,A
Structural Change and Economic Dynamics,B
Structural Equation Modelling: A Multidisciplinary Journal,A
Studi Economici e Sociali: rivista di vita economica,C
Studies in Agricultural Economics,C
Studies in Business and Economics,C
Studies in Comparative International Development,A
Studies in Economics and Finance,B
Studies in Higher Education,A
Studies in Microeconomics,C
Studies in Nonlinear Dynamics & Econometrics,A
Studies in Political Economy: a socialist review,C
Suffolk University Law Review,B
Supply Chain Management Review,B
Supply Chain Management: an international journal,A
Survival,B
"Sustainability Accounting, Management and Policy Journal",B
Sustainable Development,C
Swedish Economic Policy Review,C
Syracuse Journal of International Law and Commerce,C
System Dynamics Review,A
Systemic Practice and Action Research,B
Systems Research and Behavioral Science,A
Tarsadalom es Gazdasag,C
Tax Law Review,A
Tax Notes,C
Tax Policy Journal,C
Tax Specialist,B
Taxation in Australia,C
Teaching Business and Economics,C
Team Performance Management,C
Technological Forecasting and Social Change,A
Technology Analysis and Strategic Management,B
Technology in Society,C
Technology Innovation Management Review,C
Technometrics,A
Technovation,A
Telematics and Informatics,C
Teoros: revue de recherche en tourisme,C
Texas International Law Journal,A
The Accounting Review,A*
The Adam Smith Review,B
The American Economic Review,A*
The American Sociologist,B
The American Statistician (AMSTAT),B
"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",B
The Australian Economic Review,B
The Australian Journal of Agricultural and Resource Economics,A
The Baltic Journal of Road and Bridge Engineering,C
The BE Journal of Economic Analysis and Policy,A
The BE Journal of Macroeconomics,A
The BE Journal of Theoretical Economics,A
"The Brooklyn Journal of Corporate, Financial and Commercial Law",C
The Business Lawyer,A
The China Review: an interdisciplinary journal on greater China,C
The Chinese Economy: translation and studies,B
The Computer Journal,C
The Consortium Journal of Hospitality and Tourism,C
The Corporate Governance Law Review,C
The Economic and Labour Relations Review,B
The Economic History Review: a journal of economic and social history,A
The Economic Journal,A*
The Economic Record,A
The Economics of Transition,A
The Electronic Journal of Statistics,A
The Electronic Library,B
The European Accounting Review,A*
The European Journal of Finance,A
The Florida Tax Review,A
The Geneva Papers on Risk and Insurance - Issues and Practice,B
The Geneva Risk and Insurance Review,B
The Independent Review: a journal of political economy,C
The Indonesian Journal of Accounting Research,C
Information Management,B
The Information Society,A
The International Journal of Accounting,A
The International Journal of Comparative Labour Law and Industrial Relations,B
The International Journal of Digital Accounting Research,B
"The International Journal of Environmental, Cultural, Economic and Social Sustainability: Annual Review",C
The International Journal of Logistics Management,A
The International Journal of Management Education,C
The IUP Journal of Agricultural Economics,C
The IUP Journal of Applied Economics (previously ICFAI),C
The IUP Journal of Managerial Economics,C
The IUP Journal of Monetary Economics (previously ICFAI),C
The IUP Journal of Public Finance,C
The Japanese Political Economy,B
The Journal of Alternative Investments,B
The Journal of Applied Behavioral Science,B
The Journal of Asset Management,B
The Journal of Derivatives,A
The Journal of Development Effectiveness,C
The Journal of Econometric Study of Northeast Asia (JESNA),C
The Journal of Economic Asymmetries,B
The Journal of Economic Education,B
The Journal of Economic History,A*
The Journal of Economic Inequality,A
The Journal of Finance,A*
The Journal of Fixed Income,A
The Journal of Futures Markets,A
The Journal of Gambling Business and Economics,B
The Journal of High Technology Management Research,C
The Journal of Hospitality Financial Management,C
The Journal of Industrial Economics,A
The Journal of International Maritime Law,C
The Journal of International Trade and Economic Development: an international and comparative review,B
The Journal of Law and Economics,A*
The Journal of Pacific Studies,C
The Journal of Portfolio Management,A
The Journal of Prediction Markets,B
The Journal of Private Equity,C
The Journal of Risk Finance,B
The Journal of Risk Model Validation,C
The Journal of Structured Finance,C
The Journal of Theoretical Accounting Research,B
The Journal of Trading,C
The Journal of Wealth Management,B
The Journal of World Intellectual Property,C
The Leadership Quarterly,A*
The Learning Organization,C
The Marketing Review,C
The Milbank Quarterly,B
The Modern Law Review,A*
The North American Journal of Economics and Finance,B
The Pacific Review,A
The Quarterly Journal of Austrian Economics,C
The Quarterly Journal of Economics,A*
The Review of Austrian Economics,C
The Review of Black Political Economy,C
The Review of Economic Studies,A*
The Review of Economics and Statistics,A*
The Review of Financial Studies,A*
The Review of Network Economics,B
The Social Science Journal,C
The Sociological Review,A
The Sydney Law Review,A*
The Tax Lawyer,B
The TQM Journal,B
The UNE Law Journal,C
The World Bank Economic Review,A
The World Economy,A
The Yale Law Journal,A*
Theoretical and Applied Economics,C
Theoretical Economics,A*
Theory and Decision: an international journal for multidisciplinary advances in decision sciences,A
Theory of Probability and its Applications,A
"Theory, Culture and Society",A
Third Sector Review,C
Third World Quarterly,A
Thunderbird International Business Review,B
Tijdschrift voor Economische en Sociale Geografie,B
Time and Society,B
Tobacco Control,B
Tort Law Review,A
Torts Law Journal,A
Total Quality Management and Business Excellence,C
Tourism Analysis,A
Tourism and Hospitality Research,B
Tourism Economics,A
Tourism Geographies,A
Tourism in Marine Environments,C
Tourism Management,A*
Tourism Management Perspectives,A
Tourism Planning & Development,B
Tourism Recreation Research,A
Tourism Research Journal,C
Tourism Review,B
Tourism Review International,C
"Tourism, Culture and Communication",C
Tourism: An International Interdisciplinary Journal,C
Tourismus Journal,C
Tourist Studies,B
Transfer: European review of labour and research,C
Transformations in Business and Economics,C
"Transforming Government: People, Process and Policy",B
Transnational Corporations Review,C
Transport Policy,A
Transport Reviews,A
Transportation,A
Transportation Journal,B
Transportation Law Journal,C
Transportation Letters,B
Transportation Planning and Technology,B
Transportation Research Part A: Policy and Practice,A*
Transportation Research Part B: Methodological,A*
Transportation Research Part C: Emerging Technologies,A*
Transportation Research Part D: Transport and Environment,A
Transportation Research Part E: Logistics and Transportation Review,A*
Transportation Research Part F: Traffic Psychology and Behaviour,A
Transportation Research Record,B
Transportation Science,A
Transportmetrica A: Transport Science,B
Transportmetrica B: Transport Dynamics,B
Travel and Tourism Analyst,C
Travel Behaviour and Society,B
Tulane Maritime Law Journal,A
UBC Law Review,B
UCLA Pacific Basin Law Journal,B
Universal Access in the Information Society,C
University of Chicago Law Review,A*
University of Miami Business Law Review,C
University of New South Wales Law Journal,A
University of Pennsylvania Journal of Business Law,C
University of Queensland Law Journal,B
University of San Francisco Maritime Law Journal,B
University of Tasmania Law Review,B
University of Toronto Law Journal,A
University of Western Australia Law Review,B
University of Western Sydney Law Review,C
UNLV Gaming Research and Review Journal,B
Urban Affairs Review,B
Urban Studies: an international journal for research in urban studies,A*
US Bureau of Labor Statistics: Monthly Labor Review,B
Vanderbilt Journal of Transnational Law,B
Variance: advancing the science of risk,C
Venture Capital,B
Victoria University of Wellington Law Review,B
Vietnam's Socio-Economic Development,C
Villanova Journal of Law and Investment Management,C
Vindobona Journal of International Commercial Law and Arbitration,C
VINE Journal of Information and Knowledge Management Systems,B
Virginia Tax Review,A
Vision: The Journal of Business Perspectives,C
Visitor Studies,A
Voluntas: International Journal of Voluntary and Non-Profit Organizations,B
Waikato Law Review,C
Washington International Law Journal,B
"Washington Journal of Law, Technology & Arts",C
Water Resources Research,A
West European Politics,B
Western Economics Forum,C
Western Journal of Communication,C
"Work & Stress: An international Journal of Work, Health and Organisations",A
Work and Occupations,A
"Work, Employment and Society",A
World Bank Research Observer,B
World Competition Law and Economics Review,C
World Development,A
World Economics,B
World Journal of Management and Economics,C
World Journal of VAT/GST,C
World Leisure Journal,B
World Policy Journal,C
World Politics,A
"World Review of Science, Technology and Sustainable Development",C
World Tax Journal,B
World Trade Review,C
World Transport Policy and Practice,C
World Wide Web: Internet and Web Information Systems,C
Worldwide Hospitality and Tourism Themes,C
Written Communication,B
Yale Journal on Regulation,B
Young Consumers,B
Zagreb International Review of Economics and Business,C
