Venue,Rank
Workshop on Algorithms in Bioinformatics|WABI,C
International Workshop on the Algorithmic Foundations of Robotics|WAFR,C
Workshop on the Arithmetic of Finite Fields|WAIFI,C
Workshop on Algorithms And Models For The Web Graph|WAW,C
Workshop on Computational Optimization|WCO,C
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises|WETICE,C
Workshop in Information Security Theory and Practices|WISTP,C
"Workshop on Logic, Language, Information and Computation|WoLLIC",C
World Conference on Information Systems and Technologies|WorldCIST,C
IEEE International Conference on Emerging Technologies and Factory Automation|ETFA,C
Engineering Federated Information (Database) Systems|EFIS/EFDBS,C
ECRYPT Workshop on Cryptographic Hash Functions|ECRYPT,C
ECRYPT Workshop on Tools for Cryptanalysis|ECRYPT,C
"Informatics in Education (journal, congress, symposium, etc all under this name - can't rank)",C
"Southeastern International Conference on Combinatorics, Graph Theory, and Computing",C
The Claude Shannon Workshop on Coding and Cryptography,C
3-D Digital Imaging and Modelling|3DIM,C
International Symposium on 3D Data Processing Visualization and Transmission|3DPVT,C
International Conference on 3G Mobile Communication Technologies|3G,C
International Workshop on Advanced Architectures and Algorithms for Internet Delivery and Applications|AAA-IDEA,C
Advanced Course on Artificial Intelligence|ACAI,C
"Workshop on Algorithms, Combinatorics, and Geometry|ACG",C
Algorithms and Complexity in Durham|ACID,C
"Workshop on Aspects, Components, and Patterns for Infrastructure Software|ACP4IS",C
Advances in Information Systems|ADVIS,C
Asia-Pacific Forum on Engineering and Technology Education|AFETE,C
"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa|AFRIGRAPH",C
Artificial Intelligence and Applications Conference|AIA,C
Artificial Intelligence in Knowledge Management|AIKM,C
International Conference on Artificial Intelligence and Pattern Recognition|AIPR,C
Advances in Intelligent Systems|AIS,C
International Conference on Artificial Intelligence in Science and Technology|AISAT,C
Advances in the Theory of Computing|AITC,C
"SIAM Workshop on Algorithms for Listing, Counting, and Enumeration|ALICE",C
International Conference on Advanced Language Processing and Web Information Technology|ALPIT,C
Algebraic Methodology and Software Technology|AMAST,C
IEEE Symposium on Advanced Management of Information for Globalized Enterprises|AMIGE,C
Ambient Intelligence Developments|Aml.d,C
Asian International Mobile Computing Conference|AMOC,C
Asia International Conference on Modelling and Simulation|AMS,C
Conference on Artificial Neural Networks and Expert systems|ANNES,C
Aspect-Orientation Asia|AO-Asia,C
Internet Research|AOIR,C
Workshop on Aspect-Oriented Modelling|AOM,C
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages)|APCHDL,C
Asia-Pacific Computer Human Interaction Conference|APCHI,C
Asia Pacific Decision Science Institute Conference|APDSI,C
Applied Perception in Graphics and Visualization|APGV,C
Joint Conference on Declarative Programming APPIA-GULP-PRODE|APPIA/GULP/PRODE,C
Asia Pacific Research Symposium on Accounting Information Systems|APRSAIS,C
Symposium on Assessment of Quality S/W Dev Tools|AQSDT,C
Workshop on Approximation and Randomization Algorithms in Communication Networks|ARACNE,C
Active and Real-Time Database Systems|ARTDB,C
Advanced Research in VLSI|ARVLSI,C
Asian Symposium on Computer Mathematics|ASCM,C
International Workshop on Abstract State Machines|ASM(W),C
ISCA Tutorial and Research Workshop Automatic Speech Recognition|ASR,C
Workshop on Ad Hoc and Ubiquitous computing|AUC,C
Apple University Consortium Academic and Developers Conference|AUCADC,C
International Atlantic Web Intelligence Conference|AWIC,C
IFIP International Conference on Broadband Communications|BC,C
International Workshop on Boolean Functions: Cryptography and Applications|BFCA,C
IFIP Conference on Biologically Inspired Collaborative Computing|BICC,C
Bioinformatics Visualization|BioViz,C
International Workshop on Business Process Design|BPD,C
International Workshop on Business Process Intelligence|BPI,C
"International Workshop on Business Process Modelling, Development, and Support|BPMDS",C
Visualisation in Built and Rural Environments|BuiltViz,C
International Workshop on C# and .NET Technologies|C#,C
International Conference on Creating Connecting and Collaborating through Computing|C5,C
Workshop on Computational and Conformal Geometry|CCG,C
International Command and Control Research and Technology Symposium|CCRTS,C
"Intelligent Multimedia, Computing and Communications Technologies and Applications of the Future|CCTAF",C
Constraint Databases and Applications|CDB,C
Computing in Education Group of Victoria Conference|CEG,C
International Workshop on Comparative Evaluation in Requirements Engineering|CERE,C
International Conference on Cybercrime Forensics Education and Training|CFET,C
"Conference on Computers, Freedom, and Privacy|CFP",C
Workshop on Computational Geometry and Applications|CGA,C
CGAL User Workshop|CGAL,C
Joint International Conference on CyberGames and Interactive Entertainment|CGIE,C
"International Conference Computer Graphics, Imaging and Visualization|CGIV",C
Conference on Graph Theory and Discrete Geometry|CGTDG,C
Annual Fall Workshop on Computational Geometry|CGW,C
Cultural Heritage Knowledge Visualisation|CHKV,C
International Conference on Communications in Computing|CIC,C
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques|CIEAEM,C
IEEE International Conference on Intelligence for Homeland Security and Personal Safety|CIHSPS,C
IEEE Symposium on Computational Intelligence in Image and Signal Processing|CIISP,C
"International Conference on Computational Intelligence for Modelling, Control and Automation|CIMCA",C
IEEE International Conference on Computational Intelligence for Measurement Systems and Applications|CIMSA,C
"International Conference on Computational Intelligence, Robotics and Autonomous Systems|CIRAS",C
International Symposium on Circuits and Systems|CIRSYS,C
International Conference on Computer Information Systems and Industrial Management Applications|CISIM,C
"International Conference Imaging Science, Systems and Technology|CISST",C
Challenges of Large Applications in Distributed Environments|CLADE,C
Joint Working Conference on Secure Information Networks: Communications and Multimedia Security|CMS,C
Coordinated and Multiple Views in Exploratory Visualization|CMV,C
IEEE International Workshop on Cellular Nanoscale Networks and Applications|CNNA,C
International Symposium on Cooperative Database Systems for Advanced Applications|CODAS,C
Committee on Data for Science and Technology|CODATA,C
International Symposium on Computer Design|COMPDES,C
Asia-Pacific Conference on Complex Systems|Complex,C
International Conference on Communication System Software and Middleware|COMSWARE,C
Conference on Algorithms and Hardware for Parallel Processing|CONPAR,C
International Conference on Computational Semiotics for Games and New Media|Cosign,C
Complex Objects Visualization Workshop|COV,C
Constraint Programming Day|CPD,C
Cryptography Policy and Algorithms Conference|CryPAC,C
ACM Annual Computer Science Conference|CSC,C
European Conference on Software Maintenance and Reengineering|CSMR,C
Computer Science Research Conference|CSRC,C
Computational Topology Workshop|CT,C
Computational Techniques and Applications Conference|CTAC,C
International Symposium on Collaborative Technologies and Systems|CTS,C
International Conference on Complex Systems|CxS,C
Discourse Anaphora and Anaphor Resolution Colloquium|DAARC,C
Digital Arts and Culture|DAC,C
Discrete and Algorithmic Geometry|DAG,C
"Symposium on Design, Analysis, and Simulation of Distributed Systems|DASD",C
Data Semantics in Web Information Systems|DASWIS,C
Design and Aesthetics in Visualisation|DAViz,C
Distributed Communities on the Web Workshop|Dcw,C
International Workshop on Domain Driven Data Mining|DDDM,C
"IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging|DECI",C
International Conference on Distributed Frameworks for Multimedia Applications|DFMA,C
Dynamic Graph Workshop|DGW,C
"Conference on Discrete Mathematics, Algebra and their Application|DIMA",C
DIMACS Workshop on Intrinsic Complexity of Computation|DIMACS Intrinsic,C
Internationale Tagung Wirtschaftsinformatik|DITW,C
"Discrete Models: Combinatorics, Computation and Geometry|DM-CCG",C
Design and Management of Data Warehouses|DMDW,C
Workshop on Research Issues in Data Mining and Knowledge Discovery|DMKD,C
VisMasters Design Modelling and Visualization Conference|DMVC,C
Workshop on Declarative Programming in the Context of OO Languages|DP-COOL,C
ACM Digital Rights Management Workshop|DRM,C
Domain Specific Aspect Languages|DSAL,C
Annual Meeting of the Decision Sciences Institute|DSI,C
"International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence|DSKDB",C
Domain - Specific Languages for Software Engineering|DSLSE,C
Workshop on Assurance Cases for Security|DSN,C
International Conference on Decision Support Through Knowledge Management|DSTKM,C
Workshop on Database Technology for Virtual Enterprises|DTVE,C
Dutch Computational Geometry Day|DutchCG,C
Information Systems &Technologies /SPIE Conference on Digital Video Compression Algorithms & Techniques|DVAT,C
Workshop on Aspect Oriented Requirements Engineering and Architecture Design|Early Aspects,C
European Computing Conference|ECC,C
Workshop on Elliptic Curve Cryptography|ECC,C
International Workshop on Evolution and Change in Data Management|ECDM,C
European Conference on Information Management and Evaluation|ECIME,C
European Conference of Information Warfare|ECIW,C
IEEE European Conference on Web Services|ECOWS,C
European Conference on Research Methodology for Business and Management Studies|ECRM,C
European Conference on Universal Multiservice Networks|ECUMN,C
Symposium on Discrete Mathematics|EDM,C
International Workshop on Economics-Driven Software Engineering Research|EDSER,C
"IEEE International Conference on Enterprise Computing, E-Commerce and E-Services|EEE",C
Joint Meeting of the European Frequency and Time Forum and the Institute of Electrical and Electronics Engineers In|EFTF/IFCS,C
Enabling Grids for E-Science European Conference|EGEE,C
European Institute for Computer Anti-Virus Research EICAR Conference|EICAR,C
International Conference on Enterprise Information Systems and Web Technologies|EISWT,C
European Lisp Workshop|ELW,C
The Annual International Conference of the IEEE Engineering in Medicine and Biology Society|EMBC,C
Embedded Sensor Networks Workshop|Emnets,C
Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science)|ENC,C
Annual Conference on Evolutionary Programming|EP,C
ERATO Conference on Quantum Information Science|EQIS,C
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks|ESAS,C
"Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies|ESCAPE",C
European Symposium on Gender and ICT|ESGICT,C
European Congress on Intelligent Techniques and Soft Computing|EUFIT,C
European Workshop on Advanced Mobile Robots|EuroBot,C
European Conference on Computational Learning Theory (Now in COLT)|EuroCOLT,C
International Conference on Electronic Voting|EVOTE,C
USENIX/ACCURATE Electronic Voting Technology Workshop|EVT,C
Extreme Markup Languages|Extreme,C
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements|F-and-B,C
A Satellite workshop on Formal Approaches to Testing of Software|FATES,C
Formal and Computational Cryptography|FCC,C
Functional and Declarative Programming in Education|FDPE,C
FIRA Robot World Congress|FIRA,C
International Workshop on Foundations of Models and Languages for Data and Objects|FMLDO,C
International Conference on Formal Methods for Open Object-Based Distributed Systems|FMOOD,C
Formal Methods Pacific|FMP,C
International Workshop on Formal Methods for Parallel Programming: Theory and Applications|FMPPTA,C
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code|FMSE,C
Formal Methods in Software Engineering and Defence Systems Workshop|FMSEDS,C
Foundations of Aspect-Oriented Languages|FOAL,C
International Workshop on Foundations of Object-Oriented Languages|FOOL,C
International Conference on Fuzzy Systems and Knowledge Discovery|FSKD,C
IEEE International Workshop on Future Trends of Distributed Computing Systems|FTDCS,C
"International Conference on Grid computing, high-performance and Distributed Applications|GADA",C
MSRI Combinatorial Game Theory Research Workshop|GameTheory,C
International Conference on Grid Computing and Applications|GCA,C
International Conference on Grid and Cooperative Computing|GCC,C
Global Chinese Conference on Computers in Education|GCCCE,C
Game Developers Conference|GDC,C
International Workshop on Genetic and Evolutionary Fuzzy Systems|GEFS,C
International Conference on GeoComputation|GeoComp,C
SIAM Conference on Geometric Design|GeoD,C
Workshop on Uncertainty in Geometric Computations|GEOM Uncertainty,C
Geometry Festival: An international workshop on Discrete Geometry and Rigidity|GeomFest,C
GeoVisualization and Information Visualization|GeoViz,C
Grace Hopper Celebration of Women in Computing|GHC,C
GIS Planet Conference|GISPlanet,C
International Workshop on Global Optimization|GO,C
International Workshop on Group-Oriented Cryptographic Protocols|GOCP,C
International Conference on Operations Research|GOR,C
IEEE International Conference on Granular Computing|GrC,C
"International Workshop on Human Aspects in Ambient Intelligence: Agent Technology, Human-Oriented Knowledge and Applications|HAI",C
International Conference on Health Informatics|Healthinf,C
International Workshop on Hot topics in Peer-to-Peer Systems|HotP2P,C
ACM Workshop on Hot Topics in Software Upgrades|HotSWUp,C
High-Performance Grid Computing Workshop (part of IPDPS Conference)|HPGrid,C
International Workshop on Image Analysis and Information Fusion|IAIF,C
Annual Conference of the International Academy for Information Management|IAIM,C
IEEE International Augmented Reality Toolkit Workshop|IARTW,C
IFAC Conference on Automation|ICA,C
IEEE International Conference on Adaptive and Intelligent Systems|ICAIS,C
International Conference on Adaptive and Natural Computing Algorithms|ICANNGA,C
International Conference on Artificial Neural Networks and Genetic Algorithms|ICANNGA,C
International Conference on Advances in Pattern Recognition and Digital Techniques|ICAPRDT,C
IEEE International Conference on COTS-Based Software Systems|ICCBSS,C
IEEE International Conference on Computational Cybernetics|ICCC,C
International Conference on Chinese Computing|ICCC,C
International Conference on Computational Intelligence and Multimedia|ICCIMA,C
International Congress of Chinese Mathematicians|ICCM,C
International Conference on Computer Theory and Applications|ICCTA,C
International Conference on Engineering Education|ICEE,C
International Conference on Enterprise Integration and Modelling Technology|ICEIMT,C
International Conference on Enterprise Information Systems|ICEIS,C
International Conference on Computational Engineering Science|ICES,C
International Joint Conference on e-Business and Telecommunications|ICETE,C
International Conference on Convergence and Hybrid Information Technology|ICHIT,C
International Conference on Information and Communications Technology|ICICT,C
International Conference on International and Communication Technologies|ICICTE,C
International Conference on Information and Emerging Technologies|ICIET,C
International Conference on Intelligent Systems|ICIL,C
"International Conference on Interaction Sciences: Information Technology, Culture and Human|ICIS",C
International Conference on Information Theoretic Security|ICITS,C
International Congress of Mathematicians|ICM,C
International Conference on Mobile Business|ICMB,C
SIGOPT - International Conference on Optimization|ICO,C
International Conference on Pervasive Computing and Applications|ICPCA,C
International Conference on Pervasive Services|ICPS,C
"International Conference on Systems Research, Informatics and Cybernetics|ICSRIC",C
International Conference Software and Systems Engineering and their Applications|ICSSEA,C
International Conference on Technology and Business Management|ICTBM,C
"IEEE Conference on Information, Decision and Control|IDC",C
"International Conference on Digital Content, Multimedia Technology and its Applications|IDC",C
International Workshop on Interactive Entertainment|IDET,C
IDF Congress|IDFC,C
"Intelligence Tools, Data Mining, Visualization|IDV",C
Informatics Education Europe|IEE,C
IEEE Symposium on Computational Intelligence in Scheduling|IEEE CI-Sched,C
IEEE Workshop on Computational Intelligence in Aerospace Applications|IEEE CIAA,C
"IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications|IEEE CIB",C
IEEE Symposium on Computational intelligence for Image Processing|IEEE CIIP,C
IEEE Workshop on Computational Intelligence in Virtual Environments|IEEE CIVE,C
IEEE Workshop on Computational Intelligence for Visual Intelligence|IEEE CIVI,C
IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems|IEEE CIWS,C
IEEE International Conference on Digital EcoSystems and Technologies Conference|IEEE DEST,C
IEEE Workshop on Evolving and Self-Developing Intelligent Systems|IEEE ESDIS,C
IEEE Workshop on Hybrid Intelligent Models and Applications|IEEE HIMA,C
IEEE Symposium on Intelligent Agents|IEEE IA,C
IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making|IEEE MCDM,C
Natural Language Processing and Knowledge Engineering|IEEE NLP-KE,C
IEEE Workshop on Organic Computing|IEEE OC,C
IEEE Workshop on Robotic Intelligence in Informationally Structured Space|IEEE RiiSS,C
IEEE Workshop on Evolvable and Adaptive Hardware|IEEE WEAH,C
IEEE Workshop on Memetic Algorithms|IEEE WOMA,C
International Federation of Automatic Control World Congress|IFAC,C
International Forum on Applied Wearable Computing|IFAWC,C
IFIP International Conference on Theoretical Computer Science|IFIP TCS,C
International ICSC Congress on Intelligent Systems and Applications|IICISA,C
International Conference on Immersive Telecommunications|IMMERSCOM,C
International Conference on Advanced Information Management|IMS,C
International Conference on Networked Computing|INC,C
Internet Society Conference|INET,C
International Workshop of the Initiative for the Evaluation of XML Retrieval|INEX,C
IFIP Congress (Information Processing)|Information Processing,C
IEEE International Multioptic Conference|INMIC,C
Interaction,C
Interoperating Geographic Information Systems|INTEROP,C
INTUITION International Conference|INTUITION,C
International Conference on Intelligent Pervasive Computing|IPC,C
IEEE International Conference on Intelligent Processing Systems|IPS,C
International Python Conference|IPythC,C
International Conference on Information Security and Assurance|ISA,C
International Conference on Information Systems Analysis and Synthesis|ISAS,C
"International Symposium on Audio, Video, Image Processing and Intelligent Applications|ISAVIIA",C
Institute for Small Business and Entrepreneurship Annual Conference|ISBE,C
"International Symposium on Data, privacy and E-Commerce|ISDPE",C
Conference of the International Society for Decision Support Systems|ISDSS,C
International Symposium on Future Software Technology|ISFST,C
International Symposium on Information Processing|ISIP,C
International Symposium on Object Technologies for Advanced Software|ISOTAS,C
International Symposium on Spatial Data Infrastructures|ISSDI,C
International Symposium on Voronoi diagrams in Science and Engineering|ISVD,C
International Conference on IT Based Higher Education and Training|ITHET,C
International Conference on Information Technology Interfaces|ITI,C
International Conference on Information Technology in Regional Areas|ITiRA,C
Symposium on Information Technology and Information Systems|ITIS,C
International Conference on Trust Management|iTrust,C
Information Visualization Evaluation|IVE,C
Int. Workshop on Multi-Media Data Base Management Systems|IW-MMDBMS,C
The International Workshop on Algorithms and Graphs|IWAAG,C
"International Workshop on Aliasing, Confinement and Ownership|IWACO",C
International Web Conference|IWC,C
IEEE International Workshop on Cluster Computing and the Grid|IWCC,C
International Workshop on Distributed Object Management|IWDOM,C
International Workshop on Intelligent Agents|IWIA,C
"International Workshop on Incorporating COTS Software into Software Systems, Tools and Techniques|IWICSS",C
International Workshop on Knowledge Discovery from Data Streams|IWKDDS,C
International Workshop on Security Protocols|IWSP,C
International Workshop on Software Product Management|IWSPM,C
International Workshop on Software Technology for Augmented Reality Systems|IWSTAR,C
Symposium on Cellular Automata|JAC,C
Joint Conference on Information Sciences|JCIS,C
Joint European Conference and Exhibition on Geographical Information Systems|JECGI,C
International French Speaking Conference on Logic and Constraint Programming|JFPLC,C
Workshop On Java For High-Performance Computing|JHPC,C
Knowledge Discovery and Data Mining in Biological Databases Meeting|KDDMBD,C
Knowledge and Data Engineering Exchange Workshop|KDEX,C
International Conference on Knowledge-based Intelligent Electronic Systems|KIES,C
Knowledge Representation Meets Databases|KRDB,C
Kyoto International Conference on Computational Geometry and Graph Theory|KyotoCGGT,C
Workshop on Logic and Learning|L&L,C
International Workshop on Logic and Complexity in Computer Science|LCCS,C
Accelerating excellence in the built environment World Conference|WCAEBE,C
ACM SIGOPS European Workshops|SIGOPS-EW,C
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013)|AOSE,C
AIChE Annual Meeting,C
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference|APIEMS CIIEC,C
Association of Architecture Schools of Australasia Annual Conference (AASA)|AASA,C
Athens Colloquium on Algorithms and Complexity|ACAC,C
Australasian Remote Sensing Conference and Photogrammetry Conference|ARSPC,C
"Australasian Road Safety Research, Policing and Education Conference",C
Australasian Wind Engineering Society Workshop in Wind Engineering,C
Australian Combustion Symposium,C
Australian Geothermal Energy Conference,C
Australian Water Association Convention - Ozwater,C
Benelux Workshop on Information and System Security|WISSec,C
Brazilian Symposium on Computer Graphics and Image Processing|SIBGRAPI,C
Brazilian Symposium on Databases|SBBD,C
"Brazilian Symposium on Graphs, Algorithms and Combinatorics|GRACO",C
Brazilian Symposium on Information and Computer Systems Security|SBSEG,C
British Colloquium for Theoretical Computer Science|BCTCS,C
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop|BCS-FMW,C
Canadian Conference on Computational Geometry|CCCG,C
Canadian Conference on Computer and Robot Vision|CRV,C
Canadian Conference on Electrical and Computer Engineering|CCECE,C
Canadian Discrete and Algorithmic Mathematics Conference|CanaDAM,C
"Canadian Society for Civil Engineering, International Construction Specialty Conference|ICSC",C
Chilean Database Workshop|JCC/WBD(CDW),C
ChinaGrid Annual Conference|ChinaGrid,C
Coastal Environment,C
CombinaTexas: Combinatorics in the South-Central U.S.|Combina Texas,C
Computing in Civil Engineering and Building International Conference|ICCCBE,C
Conférence en Recherche d'information et Applications|CORIA,C
Conference of South African Institute of Computer Scientists and Information Technologists|SAICSIT,C
Conference of the Australian Institutes of Transport Research|CAITR,C
Conference on Construction Partnering|CII-HK,C
Conference on Operational Research Practice in Africa|ORPA,C
Conference on Spatial Information Theory|COSIT,C
ConnectED: International Conference on Design Education|ConnectED,C
"Construction Applications of Virtual Reality, International Conference|CAVR",C
Construction Applications to Virtual Reality Conference|CONVR,C
Crypto'Puces,C
"Cumulus - International Association of Universities and Colleges of Art, Design and Media|CUMULUS",C
Durability of Building Materials and Components Conference|DBMC,C
East Asia Society for Transportation Studies Conference (biennial)|EASTS,C
European Academy of Design conferences|EAD,C
Far East Workshop on Future DB Systems|FEWFDB,C
Franco-Canadian Workshop on Combinatorial Algorithms|ComAI,C
French Journées de Géométrie Algorithmique|JGA,C
French Speaking Conference on the Extraction and Management of Knowledge|EGC,C
Hellenic Conference on Artificial Intelligence|SETN,C
High Performance Computing Symposium Canada|HPCS-Canada,C
Human Factors and Ergonomics Conference (Human Factors and Ergonomics Society of Australia)|HFESA,C
Hungarian National Conference on Agent Based Computation|HUNABC,C
Hydraulics in Civil Engineering,C
ICEE- ICEER - International Conference for Engineering Education and Research,C
IEEE Conference on Ultra Wideband Systems and Technologies|ICUWB,C
IEEE Conference on Wireless Communication and Sensor Networks|WCSN,C
IEEE Global Information Infrastructure Symposium|GIIS,C
IEEE International Conference on 3D Systems Integration (combines ASET & 3D)|IEEE 3D IC,C
IEEE International Conference on Industrial and Information Systems|ICIIS,C
IEEE International Conference on Signal Processing and Communication|ICSPC,C
IEEE International Conference on Telecommunications|ICT,C
IEEE International High Level Design Validation and Test Workshop|HLDVT,C
IEEE International Workshop on the Value of Security through Collaboration|SECOVAL,C
IEEE Latin-American Conference on Communications|latincom,C
IEEE Systems Conference|SysCon,C
IEEE Workshop on Wireless Mesh Networks|WiMesh,C
IEEE WoWMoM Workshop on Hot Topics in Mesh Networking|HotMESH,C
IEEE-RAS International Conference on Humanoid Robots|Humanoids,C
IGIP - international Society for Engineering Education Annual Meeting,C
Information Systems Research Seminar in Scandinavia|IRIS,C
International Command and Control Research and Technology Symposium|ICCRTS,C
"International Conference of Broadband Communication, Information Technology and Biomedical Applications|broadcom",C
"International Conference on Automation, Robotics and Control Systems|ARCS",C
International Conference on Construction Engineering and Management|ICCEM,C
International Conference on Construction in Developing Countries|ICCIDC,C
International Conference on Embedded Software and Systems|ICESS,C
International Conference on Hydroinformatics,C
"International Conference on Innovation in Architecture, Engineering and Construction|AEC",C
International Conference on Intelligent and Advanced Systems|ICIAS,C
International Conference on Management of Technology|IAMOT,C
"International Conference on Modeling, Simulation and Visualization Methods|MSV",C
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region|HPC Asia,C
IEEE International Conference on High Performance Computing and Communications|HPCC,C
IEEE Workshop on High Performance Switching and Routing|HPSR,C
Human System Interaction|HSI,C
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014)|I4CS,C
Innovative Applications in AI|IAAI,C
IADIS International Conference Applied Computing|IADIS AC,C
International Symposium on Information Assurance and Security|IAS,C
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management|IC3K",C
International Conference on Algorithms and Architectures for Parallel Processing|ICA3PP,C
International Conference on Artificial Intelligence and Law|ICAIL,C
"International Conference on Control, Automation, Robotics and Vision|ICARCV",C
IEEE International Conference on Blockchain and Cryptocurrency|ICBC,C
International Congress on Computational and Applied Mathematics|ICCAM,C
International Conference on Case-Based Reasoning|ICCBR,C
International Conference on Computational Creativity|ICCC,C
International Conference on Computers Helping People with Special Needs|ICCHP,C
IEEE International Conference on Cognitive Informatics|ICCI,C
International Conference on Communication Systems and Applications|ICCSA,C
International Conference on Computational Science and its Applications|ICCSA,C
International Conference on Digital Society|ICDS,C
International Conference on Electronic Commerce|ICEC,C
International Conference on Entertainment Computing|ICEC,C
International Conference Formal Concept Analysis Conference|ICFCA,C
IEEE International Conference on Fog and Edge Computing|ICFEC,C
International Conference on Formal Engineering Methods|ICFEM,C
IEEE International Conference on Global Software Engineering|ICGSE,C
International Conference on Information and Communications Security|ICICS,C
International Conference on Internet Computing in Science and Engineering|ICICSE,C
International Conference on Internet Monitoring and Protection|ICIMP,C
IEEE/ACIS International Conference on Computer and Information Science|ICIS,C
International Conference on Image and Signal Processing|ICISP,C
International Conference on Internet and Web Applications and Services|ICIW,C
International Conference on Machine Learning and Applications|ICMLA,C
International Conference on Machine Vision|ICMV,C
International Conference on Computing and Informatics|ICOCI,C
International Conference on Operations Research and Enterprise Systems|ICORES,C
International Conference on Smart homes and health Telematics|ICOST,C
International Conference on Optimization: Techniques And Applications|ICOTA,C
International Conference on Pattern Recognition Applications and Methods|ICPRAM,C
International Conference on Software Engineering Advances|ICSEA,C
International Conference on Systems Engineering|ICSEng,C
International Conference on Information and Communication Technologies for Ageing Well and e-Health|ICT4AWE,C
International Colloquium on Theoretical Aspects of Computing|ICTAC,C
International Conference on Information and Communication Technologies and Development|ICTD,C
International Conference on Testing Software and Systems|ICTSS,C
International Conference on Computer Vision Systems|ICVS,C
International Conference on Intelligent Data Engineering and Automated Learning|IDEAL,C
International Database Engineering and Applications Symposium|IDEAS,C
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems|IEA/AIE,C
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning|IEEE ADPRL,C
IEEE International Symposium on Artificial Life|IEEE Alife,C
IEEE Symposium on Computational Intelligence in Control and Automation|IEEE CICA,C
IEEE Symposium on Computational Intelligence in Cyber Security|IEEE CICS,C
IEEE Symposium on Computational Intelligence for Financial Engineering|IEEE CIFEr,C
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing|IEEE CIMSIVP,C
IEEE Symposium on Computational Intelligence for Security and Defence Applications|IEEE CISDA,C
IEEE International Conference on Intelligent Systems|IEEE IS,C
IEEE Swarm Intelligence Symposium|IEEE SIS,C
Intenational Environmental Modelling and Software Society|iEMSs,C
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems)|IES,C
IFSA World Congress|IFSA,C
IEEE International Geoscience and Remote Sensing Symposium|IGARSS,C
Information Hiding and Multimedia Security Workshop|IH&MMSec,C
International Joint Conference on Computational Intelligence|IJCCI,C
IMA International Conference on Cryptography and Coding|IMACC,C
Information Visualisation Theory and Practice|InfVis,C
International Symposium on Innovations in Intelligent Systems and Applications|INISTA,C
International Network Optimization Conference|INOC,C
Informing Science and Information Technology Education|InSITE,C
"International Conference on Internet of Things, Big Data and Security|IoTBDS",C
IEEE International Performance Computing and Communications Conference|IPCCC,C
International Conference on Information Processing and Management of Uncertainty|IPMU,C
International Symposium on Autonomous Decentralized Systems|ISADS,C
Conference for the International Simulation and Gaming Association|ISAGA,C
International Symposium on Automation and Robotics in Construction|ISARC,C
Industrial Simulation Conference|ISC,C
Information Security Conference|ISC,C
IEEE Symposium on Computers and Communications|ISCC,C
International Symposium on Combinatorial Optimisation|ISCO,C
International Conference on Intelligent Systems Designs and Applications|ISDA,C
International Symposium on Grids and Clouds (was International Symposium on Grid Computing)|ISGC,C
IEEE International Conference on Intelligence and Security Informatics|ISI,C
International Symposium on Information Theory and Its Applications|ISITA,C
IEEE International Symposium on Multimedia|ISM,C
International Symposium on Foundations of Intelligent Systems|ISMIS,C
International Symposium on Memory Management|ISMM,C
"International Symposium on Networks, Computers and Communications|ISNCC",C
International Symposium on Neural Networks|ISNN,C
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation|ISoLA",C
IEEE International Symposium on Real-Time Distributed Computing|ISORC,C
IEEE International Symposium on Parallel and Distributed Processing with Applications|ISPA,C
International Symposium on Parallel and Distributed Computing|ISPDC,C
Information Security Practice and Experience Conference|ISPEC,C
Annual International Workshop on Presence|ISPR,C
International Symposium on Robotics Research|ISRR,C
International Symposium on Spatial Data Quality|ISSDQ,C
International Symposium on Technology and Society|ISTAS,C
International Conference on Information Visualisation|IV,C
Applications of Information Visualization|IV-App,C
Information Visualization in Biomedical Informatics|IVBI,C
